UniqueIDN,LAT,LON,PlantType,FuelType,Capacity,Total_generation_Sum,Non_Zero_Hours_Count,Average_generation_p_hour,PLCO2RTA_total
1142_G_6,43.2397,-94.7498,Combustion Turbine,Oil,2.0,792.0000000000101,720,1.100000000000014,1404391.824000018
1143_G_2,42.0296,-94.3699,Combustion Turbine,Oil,1.6,1440.0,720,2.0,2810448.0
1145_G_IC1,42.363094,-92.772322,Combustion Turbine,Oil,2.2,1152.000000000003,720,1.600000000000004,1310832.0000000033
1145_G_IC2,42.363094,-92.772322,Combustion Turbine,Oil,3.5,1584.0000000000202,720,2.200000000000028,1802394.000000023
1145_G_IC3,42.363094,-92.772322,Combustion Turbine,Oil,3.0,2520.0,720,3.5,2867445.0
1153_G_3,43.4301,-95.3153,Combustion Turbine,Oil,2.0,2160.0,720,3.0,1661016.24
1153_G_G2,43.4301,-95.3153,Combustion Turbine,Oil,2.0,1440.0,720,2.0,1107344.1600000001
1155_G_1,40.622,-93.9326,Combustion Turbine,Oil,2.7,1440.0,720,2.0,2588937.12
1155_G_2,40.622,-93.9326,Combustion Turbine,Oil,0.2,1944.0000000000225,720,2.7000000000000313,3495065.1120000407
1155_G_3,40.622,-93.9326,Combustion Turbine,Oil,0.3,144.00000000000037,720,0.2000000000000005,258893.71200000067
1155_G_4,40.622,-93.9326,Combustion Turbine,Oil,0.6,216.00000000000247,720,0.30000000000000343,388340.56800000445
1155_G_5,40.622,-93.9326,Combustion Turbine,Oil,1.1,432.00000000000495,720,0.6000000000000069,776681.1360000089
1155_G_6,40.622,-93.9326,Combustion Turbine,Oil,0.5,792.0000000000101,720,1.100000000000014,1423915.4160000181
1155_G_7,40.622,-93.9326,Combustion Turbine,Oil,2.3,360.0,720,0.5,647234.28
1155_G_8,40.622,-93.9326,Combustion Turbine,Oil,2.3,1655.9999999999793,720,2.2999999999999714,2977277.687999963
1158_G_5,40.88,-94.5589,Combustion Turbine,Oil,1.8,1655.9999999999793,720,2.2999999999999714,4883943.095999939
1166_G_1,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1295.9999999999825,720,1.7999999999999756,1890149.9039999745
1166_G_10,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2100166.56
1166_G_11,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2100166.56
1166_G_12,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2100166.56
1166_G_2,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2100166.56
1166_G_3,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2100166.56
1166_G_4A,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2100166.56
1166_G_5A,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2100166.56
1166_G_6,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2100166.56
1166_G_7,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2100166.56
1166_G_8,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2100166.56
1166_G_9,40.971826,-91.551221,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2100166.56
1169_G_6,42.0372,-94.0462,Combustion Turbine,Oil,2.5,1800.0,720,2.5,2949960.6
1193_G_5,40.9315,-94.9855,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2491306.56
1193_G_6,40.9315,-94.9855,Combustion Turbine,Oil,2.0,1440.0,720,2.0,2491306.56
1990_G_4C,43.654444,-96.201944,Combustion Turbine,Oil,3.5,0.0,0,0.0,0.0
2012_G_5,44.239539,-94.976262,Combustion Turbine,Oil,1.8,0.0,0,0.0,0.0
2012_G_6,44.239539,-94.976262,Combustion Turbine,Oil,1.8,0.0,0,0.0,0.0
2012_G_7,44.239539,-94.976262,Combustion Turbine,Oil,1.8,0.0,0,0.0,0.0
2012_G_8,44.239539,-94.976262,Combustion Turbine,Oil,1.8,0.0,0,0.0,0.0
2012_G_9,44.239539,-94.976262,Combustion Turbine,Oil,1.7,0.0,0,0.0,0.0
2021_G_5,44.0399,-95.4429,Combustion Turbine,Oil,2.0,0.0,0,0.0,0.0
2023_G_CAT2,43.86811,-95.114444,Combustion Turbine,Oil,1.7,0.0,0,0.0,0.0
2023_G_CAT3,43.86811,-95.114444,Combustion Turbine,Oil,1.7,0.0,0,0.0,0.0
2023_G_CAT4,43.86811,-95.114444,Combustion Turbine,Oil,1.7,0.0,0,0.0,0.0
56521_G_GEN1,43.3864,-93.5589,Landfill Gas,LF Gas,0.8,0.0,0,0.0,0.0
56521_G_GEN2,43.3864,-93.5589,Landfill Gas,LF Gas,0.8,0.0,0,0.0,0.0
56521_G_GEN3,43.3864,-93.5589,Landfill Gas,LF Gas,0.8,0.0,0,0.0,0.0
56521_G_GEN4,43.3864,-93.5589,Landfill Gas,LF Gas,0.8,0.0,0,0.0,0.0
56521_G_GEN5,43.3864,-93.5589,Landfill Gas,LF Gas,0.8,0.0,0,0.0,0.0
56521_G_GEN6,43.3864,-93.5589,Landfill Gas,LF Gas,0.8,0.0,0,0.0,0.0
57672_G_GE1,41.7053,-91.6033,Landfill Gas,LF Gas,1.4,0.0,0,0.0,0.0
57672_G_GE2,41.7053,-91.6033,Landfill Gas,LF Gas,1.4,0.0,0,0.0,0.0
57281_G_CS13,43.76,-94.7514,Non-Fossil Waste,Non-Fossil,5.0,0.0,0,0.0,0.0
55856_B_PC1,38.279167,-89.666944,Coal Steam,Coal,812.0,0.0,0,0.0,0.0
55856_B_PC2,38.279167,-89.666944,Coal Steam,Coal,816.0,0.0,0,0.0,0.0
6017_B_1,38.9361,-88.2781,Coal Steam,Coal,595.0,0.0,0,0.0,0.0
976_B_123,37.619747,-88.953114,Coal Steam,Coal,120.0,0.0,0,0.0,0.0
976_B_4,37.619747,-88.953114,Coal Steam,Coal,170.0,0.0,0,0.0,0.0
889_B_1,38.205,-89.8544,Coal Steam,Coal,576.0,272370.93689940695,585,465.59134512719135,589369034.696971
889_B_2,38.205,-89.8544,Coal Steam,Coal,581.0,274735.2679488808,585,469.6329366647535,594485085.3453819
889_B_3,38.205,-89.8544,Coal Steam,Coal,621.0,293649.91634467314,585,501.96566896525326,635413490.532672
856_B_2,40.5958,-89.6631,Coal Steam,Coal,240.0,0.0,0,0.0,0.0
856_B_3,40.5958,-89.6631,Coal Steam,Coal,315.0,75475.16103507344,270,279.53763346323495,162742712.18058884
963_B_33,39.754803,-89.602389,Coal Steam,Coal,188.0,0.0,0,0.0,0.0
963_B_41,39.754803,-89.602389,Coal Steam,Coal,208.0,59025.8235556797,303,194.80469820356336,137117224.22313815
963_G_1,39.754803,-89.602389,Coal Steam,Coal,73.0,2314.606880173574,35,66.13162514781641,5376841.041070733
963_G_2,39.754803,-89.602389,Coal Steam,Coal,65.0,2449.776615825467,40,61.24441539563668,5690840.877669023
55334_G_CTG1,39.223144,-88.758406,Combined Cycle,NaturalGas,145.7,0.0,0,0.0,0.0
55334_G_CTG2,39.223144,-88.758406,Combined Cycle,NaturalGas,151.1,0.0,0,0.0,0.0
55334_G_STG1,39.223144,-88.758406,Combined Cycle,NaturalGas,313.6,0.0,0,0.0,0.0
862_G_1,37.6577,-89.511161,Combined Cycle,NaturalGas,161.0,0.0,0,0.0,0.0
862_G_2,37.6577,-89.511161,Combined Cycle,NaturalGas,159.0,0.0,0,0.0,0.0
862_G_3,37.6577,-89.511161,Combined Cycle,NaturalGas,86.0,0.0,0,0.0,0.0
862_G_4,37.6577,-89.511161,Combined Cycle,NaturalGas,105.0,0.0,0,0.0,0.0
55204_G_1,38.7619,-89.0128,Combustion Turbine,NaturalGas,104.0,0.0,0,0.0,0.0
55204_G_2,38.7619,-89.0128,Combustion Turbine,NaturalGas,103.0,0.0,0,0.0,0.0
55417_G_CT01,38.6996,-88.5392,Combustion Turbine,NaturalGas,75.0,0.0,0,0.0,0.0
55417_G_CT02,38.6996,-88.5392,Combustion Turbine,NaturalGas,75.0,0.0,0,0.0,0.0
55417_G_CT03,38.6996,-88.5392,Combustion Turbine,NaturalGas,75.0,0.0,0,0.0,0.0
55417_G_CT04,38.6996,-88.5392,Combustion Turbine,NaturalGas,75.0,0.0,0,0.0,0.0
55496_G_CT01,40.106931,-88.599867,Combustion Turbine,NaturalGas,72.0,0.0,0,0.0,0.0
55496_G_CT02,40.106931,-88.599867,Combustion Turbine,NaturalGas,72.0,0.0,0,0.0,0.0
55496_G_CT03,40.106931,-88.599867,Combustion Turbine,NaturalGas,72.0,0.0,0,0.0,0.0
55496_G_CT04,40.106931,-88.599867,Combustion Turbine,NaturalGas,72.0,0.0,0,0.0,0.0
55496_G_CT05,40.106931,-88.599867,Combustion Turbine,NaturalGas,72.0,0.0,0,0.0,0.0
55496_G_CT06,40.106931,-88.599867,Combustion Turbine,NaturalGas,72.0,0.0,0,0.0,0.0
7425_G_1,39.8233,-89.5891,Combustion Turbine,NaturalGas,112.0,0.0,0,0.0,0.0
7818_G_1,39.569771,-90.43602,Combustion Turbine,NaturalGas,30.0,0.0,0,0.0,0.0
7818_G_2,39.569771,-90.43602,Combustion Turbine,NaturalGas,30.0,0.0,0,0.0,0.0
7818_G_3,39.569771,-90.43602,Combustion Turbine,NaturalGas,18.0,0.0,0,0.0,0.0
7818_G_4,39.569771,-90.43602,Combustion Turbine,NaturalGas,18.0,0.0,0,0.0,0.0
7818_G_5,39.569771,-90.43602,Combustion Turbine,NaturalGas,25.0,0.0,0,0.0,0.0
941_G_1,40.24611,-88.638761,Combustion Turbine,NaturalGas,1.3,0.0,0,0.0,0.0
941_G_2,40.24611,-88.638761,Combustion Turbine,NaturalGas,0.9,0.0,0,0.0,0.0
941_G_4,40.24611,-88.638761,Combustion Turbine,NaturalGas,0.7,0.0,0,0.0,0.0
941_G_5,40.24611,-88.638761,Combustion Turbine,NaturalGas,2.8,0.0,0,0.0,0.0
941_G_6,40.24611,-88.638761,Combustion Turbine,NaturalGas,2.0,0.0,0,0.0,0.0
941_G_7,40.24611,-88.638761,Combustion Turbine,NaturalGas,2.0,0.0,0,0.0,0.0
957_G_1,41.375528,-89.464872,Combustion Turbine,NaturalGas,2.3,0.0,0,0.0,0.0
