LAT,LON,PlantType,PLCO2RTA_total,Capacity,Total_generation_Sum,Non_Zero_Hours_Count,Average_generation_p_hour
27.44,-98.91,Onshore Wind,0.0,200.0,63400.084203209466,721,87.93354258420176
27.468889,-82.450833,Landfill Gas,0.0,1.6,1153.6000000000029,721,1.6000000000000039
27.483358,-82.548341,Combustion Turbine,0.0,31.0,0.0,0,0.0
27.488056,-99.005278,Onshore Wind,0.0,92.0,29164.038733476347,721,40.4494295887328
27.523607,-81.923951,Combustion Turbine,38220388.857263215,646.0,30568.167725928382,344,88.86095269165227
27.5667,-99.5089,Combustion Turbine,71687697.95250092,177.39999999999998,62943.30000000081,721,43.65000000000056
27.5697,-97.8228,Combustion Turbine,4804507.248816722,32.5,4145.179191755314,177,23.41909147884358
27.573256,-80.578178,Solar PV,0.0,74.5,10001.594178549616,300,33.33864726183205
27.576111,-98.905278,Onshore Wind,0.0,150.0,47550.06315240707,721,65.95015693815128
27.5925,-97.500833,Onshore Wind,0.0,236.0,74812.09935978721,721,103.76158024935813
27.6058,-82.3456,Combined Cycle,467113347.9940342,1112.0,494178.51701384864,2887,204.43446758990927
27.6058,-82.3456,O/G Steam,0.0,1624.0,0.0,0,0.0
27.6064,-97.3117,Combined Cycle,242271237.61400002,633.0,226394.0,1442,104.66666666666667
27.6064,-97.3117,O/G Steam,0.0,330.0,0.0,0,0.0
27.607469,-82.355275,Solar PV,0.0,74.5,10001.594178549616,300,33.33864726183205
27.609456,-80.537189,Solar PV,0.0,74.5,10001.594178549616,300,33.33864726183205
27.6364,-81.9636,Combined Cycle,915498.402,218.0,56238.0,721,26.0
27.6364,-81.9636,Combustion Turbine,107843.17080101291,140.0,6624.680312120702,172,38.51558321000408
27.641667,-81.9625,Combined Cycle,192247725.2003586,481.0,225434.89832192205,1479,158.0529854947824
27.641667,-81.9625,Combustion Turbine,10895338.204686316,270.0,12776.169173375638,430,29.712021333431714
27.725605957048785,-97.61087501752404,Onshore Wind,0.0,9.0,2853.003789144424,721,3.9570094162890763
27.7286,-81.9897,Combined Cycle,351054104.01600003,1063.0,435484.0,2884,120.8
27.7286,-81.9897,IGCC,127867388.88,220.0,158620.0,1442,110.0
27.746369,-81.849446,Combined Cycle,123085082.4,200.0,144200.0,1442,100.0
27.758056,-82.635278,Combustion Turbine,0.0,171.0,0.0,0,0.0
27.76522,-81.938787,Non-Fossil Waste,0.0,37.0,26677.0,1442,18.5
