index_hours,large_cf_mean,small_cf_mean
0,0.10719214784437488,0.10242274938124854
1,0.10441644685598762,0.10199493513876687
2,0.09494793221688425,0.10271417988871087
3,0.08580944203043381,0.10842506934036211
4,0.08826971777871541,0.115982163878696
5,0.10639042489054704,0.1192496310461063
6,0.1282390717697289,0.1230856030458077
7,0.11986508682624633,0.12249987079435631
8,0.08617174924886024,0.11168822965298235
9,0.06402248196483194,0.0916771466799892
10,0.054263011188343,0.0879416679587231
11,0.05464773128237016,0.08678312402019055
12,0.04826766977650456,0.08697980372227104
13,0.05507974460014197,0.08642278383608686
14,0.05747607168501232,0.08966297425649329
15,0.09400042276029574,0.1087968944705727
16,0.16470338101312776,0.13430926662876633
17,0.21959292460473145,0.16694086975496866
18,0.22503123408994266,0.17004180520382908
19,0.21131455422229786,0.16093854979585506
20,0.1890188835673731,0.14124473845906477
21,0.15306883672651936,0.1255003129647814
22,0.1302128441815764,0.11411729575458968
23,0.11297734284461748,0.10996979459173889
24,0.0926634638873056,0.10431776548888544
25,0.08665516824461536,0.10035976593679832
26,0.07301312942140237,0.0969228958143114
27,0.07353273801445775,0.10674396035396604
28,0.08154441573951385,0.11153892535359279
29,0.11663331466279109,0.12399722064304212
30,0.14835740352799223,0.12992345283419757
31,0.15858199287887426,0.1265978431271211
32,0.11114647821756365,0.11416036430249052
33,0.07322553768282944,0.10320803257130715
34,0.07105395622210216,0.09722150441309053
35,0.061252949657802674,0.08703579283454212
36,0.0533675242778736,0.08335486760728375
37,0.06056411357282621,0.08999029522053967
38,0.07291196304713118,0.10092396391429932
39,0.10823527186201234,0.11283815988193475
40,0.17852636782284206,0.12654400744224506
41,0.21947222407282665,0.16519802918324805
42,0.21767713779764913,0.1644730419602506
43,0.2209165180014459,0.1581778558754113
44,0.20552874235391946,0.14422795321032958
45,0.17360458259000722,0.12866872247201977
46,0.14502549310382548,0.11449629897611704
47,0.1156940301146799,0.10310897491113524
48,0.09596494215010623,0.09837287026030629
49,0.08611746485290984,0.09975537064792325
50,0.08527153301601637,0.10187721444117123
51,0.08648388452557494,0.10967118599295973
52,0.09476924608021424,0.11301186969180146
53,0.12101102219985048,0.11837390390545592
54,0.14291580407939009,0.11978511665834007
55,0.1441851130801542,0.12135998989324745
56,0.11915836156533169,0.11140397723683682
57,0.09341172493603077,0.09805703424236681
58,0.08088642306132739,0.09113161173991191
59,0.0689352197983417,0.08804646809194847
60,0.07209666899431576,0.08222503603401841
61,0.07237611025983308,0.08407698359375448
62,0.07723497494281632,0.0957988067140995
63,0.11085552208017804,0.11220792346431914
64,0.16834146365536318,0.13616408542502914
65,0.20969280789328018,0.16999873665592824
66,0.21505524259778802,0.16844109084018122
67,0.20154932600987482,0.1622507048885673
68,0.17692168817891477,0.14314119018496507
69,0.15691151396712832,0.12600708621174794
70,0.13317463372426322,0.110113356418075
